QuestID;InterviewDate;InterviewLengthSec;InterviewStatus;AgeBands;Region;BA01R_KA_1;BA02R_271_PL;BA02R_272_PL;BA02R_273_PL;BA02R_274_PL;BA02R_279_PL;BA02R_280_PL;BA02R_282_PL;BA02R_283_PL;BA02R_284_PL;BA02R_285_PL;SU01R;NPS01R
71;15.04.2020;285;1;2;907;0;1;1;1;1;0;1;1;1;0;1;541;8
72;08.04.2020;105;1;5;903;0;0;0;1;0;0;0;0;0;0;0;543;7
73;27.04.2020;161;1;4;907;0;1;1;1;1;0;1;1;0;0;0;541;0
74;21.04.2020;391;1;2;909;0;1;1;1;1;1;1;1;1;1;1;553;1
75;11.04.2020;225;1;2;915;0;0;1;1;1;0;0;0;1;0;0;544;6
76;11.04.2020;280;1;2;903;0;0;0;1;1;0;1;0;1;0;0;543;9
77;28.04.2020;188;1;2;907;0;1;1;1;1;0;0;1;1;0;1;541;0
78;03.04.2020;273;1;5;907;0;0;1;1;1;0;0;1;1;0;0;552;0
79;12.04.2020;200;1;2;915;0;0;1;1;1;1;1;1;1;0;0;552;1
80;09.04.2020;606;1;5;916;0;0;1;1;1;0;0;1;1;0;0;552;8
81;03.04.2020;276;1;2;903;0;0;1;1;1;0;0;1;0;0;0;543;9
82;03.04.2020;281;1;1;912;0;0;1;0;0;0;0;0;0;0;0;542;4
83;27.04.2020;170;1;3;907;0;1;1;1;1;1;1;1;1;0;1;541;4
84;14.04.2020;133;1;2;912;0;0;1;1;1;1;1;1;0;0;0;542;6
85;13.04.2020;149;1;2;904;0;0;1;1;1;1;1;1;1;0;0;543;5
86;03.04.2020;939;1;5;908;0;0;1;1;1;0;0;0;1;0;0;542;8
87;07.04.2020;493;1;5;915;0;0;1;1;1;0;0;1;1;0;0;552;3
88;18.04.2020;6014;1;2;907;1;1;1;1;1;1;1;1;1;0;1;541;6
89;07.04.2020;364;1;5;904;0;0;1;1;1;0;0;1;1;0;0;543;5
90;08.04.2020;230;1;5;902;0;0;1;0;1;0;0;1;1;0;0;552;0
91;12.04.2020;294;1;3;902;0;0;1;0;1;1;1;1;1;0;0;552;3
92;29.04.2020;270;1;4;916;0;1;1;1;1;1;1;1;1;0;0;544;1
93;10.04.2020;425;1;2;916;0;0;1;1;1;1;1;1;1;0;0;544;8
94;24.04.2020;231;1;2;912;0;1;1;1;1;1;1;1;1;1;1;541;4
95;18.04.2020;540;1;3;912;0;1;1;1;1;0;1;1;1;0;0;550;9
96;05.04.2020;270;1;5;907;0;0;0;1;0;0;0;0;0;0;0;543;5
97;12.04.2020;267;1;4;906;0;0;1;1;1;0;0;1;0;0;0;542;5
98;28.04.2020;462;1;4;902;0;1;1;1;1;1;1;1;1;0;1;544;4
99;02.04.2020;574;1;5;916;0;1;1;1;1;1;1;1;1;1;1;544;9
100;14.04.2020;282;1;2;912;0;0;0;1;1;1;1;1;1;0;0;543;5
101;07.04.2020;240;1;5;906;0;0;1;0;1;0;0;1;1;0;0;542;4
102;30.04.2020;346;1;5;907;0;1;1;1;1;1;1;1;1;0;0;541;1
103;12.04.2020;302;1;3;916;0;0;1;1;0;0;0;1;1;0;0;544;0
104;05.04.2020;366;1;5;914;0;0;1;1;1;1;1;1;1;0;0;552;7
105;13.04.2020;220;1;2;907;1;1;1;1;1;0;0;1;1;0;0;541;9
106;07.04.2020;168;1;4;907;0;0;1;0;1;0;0;1;0;0;0;543;9
107;03.04.2020;459;1;1;901;0;0;1;1;1;1;0;1;1;0;0;542;9
108;07.04.2020;506;1;5;912;0;0;1;1;1;0;0;1;1;0;0;542;4
109;08.04.2020;229;1;5;915;0;0;1;1;1;0;1;1;1;0;0;544;6
110;18.04.2020;308;1;4;907;0;1;1;1;1;0;0;1;1;0;0;541;0
111;11.04.2020;246;1;3;907;0;0;1;0;1;1;1;1;1;0;0;552;7
112;06.04.2020;289;1;5;912;0;0;1;1;1;0;0;1;1;0;0;542;3
113;07.04.2020;172;1;5;911;0;0;1;1;1;1;0;1;1;0;0;552;0
114;12.04.2020;220;1;3;906;0;0;1;1;1;0;0;1;1;0;0;544;6
115;15.04.2020;318;1;3;912;0;0;1;1;1;0;0;1;1;0;0;542;7
116;21.04.2020;268;1;3;907;0;1;1;1;1;1;1;1;1;0;0;541;0
117;05.04.2020;403;1;5;916;0;0;1;1;1;0;1;1;1;0;0;550;5
118;17.04.2020;3229;1;3;907;0;1;0;1;0;1;1;1;1;0;0;541;8
119;06.04.2020;941;1;5;914;0;0;1;1;1;0;1;1;1;0;0;552;9
120;15.04.2020;530;1;3;907;0;1;1;1;1;0;1;0;1;0;0;541;0
121;03.04.2020;358;1;5;907;0;0;1;1;1;0;0;1;1;0;0;543;1
122;21.04.2020;449;1;3;907;0;1;1;1;1;0;0;1;1;0;0;541;7
123;11.04.2020;312;1;2;907;0;1;1;1;0;0;1;0;0;0;1;541;5
124;21.04.2020;657;1;2;906;0;1;1;1;1;0;1;1;1;0;1;542;4
125;12.04.2020;396;1;3;907;0;1;0;1;1;0;0;1;1;0;0;541;7
126;13.04.2020;193;1;4;912;0;0;1;0;0;0;0;1;1;0;0;542;5
127;08.04.2020;193;1;5;909;0;0;1;1;1;0;0;1;1;0;0;553;2
128;28.04.2020;479;1;4;907;0;1;1;1;1;0;0;1;0;0;1;541;6
129;10.04.2020;124;1;2;904;0;0;1;1;1;1;0;1;1;0;0;553;4
130;12.04.2020;118;1;4;904;0;0;1;0;0;0;0;0;0;0;0;542;9
131;10.04.2020;205;1;3;912;0;0;1;1;1;1;1;1;1;0;0;542;1
132;14.04.2020;234;1;2;908;0;0;0;0;0;0;0;1;1;0;0;552;3
133;14.04.2020;304;1;3;907;0;1;1;1;1;0;1;1;1;0;0;541;6
134;09.04.2020;87;1;5;905;1;0;0;0;0;0;1;0;0;0;0;549;9
135;13.04.2020;133;1;3;903;0;0;1;1;1;1;0;1;1;0;0;543;3
136;03.04.2020;365;1;1;901;0;0;1;0;1;0;0;1;1;0;0;542;4
137;15.04.2020;277;1;5;912;0;0;1;1;1;0;0;1;1;0;0;541;6
138;11.04.2020;152;1;2;912;0;0;1;1;1;0;0;1;1;0;0;542;4
139;27.04.2020;372;1;3;912;0;1;1;1;1;0;0;1;1;0;0;542;7
140;11.04.2020;400;1;2;914;0;0;1;1;1;0;1;1;1;0;0;552;8
